Id,SalePrice
1461,120500.0
1462,153500.0
1463,193000.0
1464,183200.0
1465,191000.0
1466,178000.0
1467,173000.0
1468,178000.0
1469,167000.0
1470,143250.0
1471,160000.0
1472,88000.0
1473,88000.0
1474,148500.0
1475,147000.0
1476,426000.0
1477,256300.0
1478,285000.0
1479,306000.0
1480,426000.0
1481,415298.0
1482,171750.0
1483,176432.0
1484,160200.0
1485,163900.0
1486,185000.0
1487,240000.0
1488,232000.0
1489,178000.0
1490,175000.0
1491,225000.0
1492,104900.0
1493,190000.0
1494,403000.0
1495,207500.0
1496,160000.0
1497,171900.0
1498,160000.0
1499,160000.0
1500,162000.0
1501,168500.0
1502,185000.0
1503,239686.0
1504,227000.0
1505,227000.0
1506,180000.0
1507,239000.0
1508,190000.0
1509,119000.0
1510,140000.0
1511,160000.0
1512,210000.0
1513,180000.0
1514,150900.0
1515,169000.0
1516,193500.0
1517,180500.0
1518,149900.0
1519,227000.0
1520,139000.0
1521,148000.0
1522,148000.0
1523,126000.0
1524,98300.0
1525,88000.0
1526,134500.0
1527,138000.0
1528,105000.0
1529,148000.0
1530,167000.0
1531,124000.0
1532,112500.0
1533,145000.0
1534,107900.0
1535,100000.0
1536,159000.0
1537,88000.0
1538,200000.0
1539,205950.0
1540,145000.0
1541,147000.0
1542,219500.0
1543,144000.0
1544,66500.0
1545,128000.0
1546,127500.0
1547,140000.0
1548,153575.0
1549,120000.0
1550,162900.0
1551,135000.0
1552,108000.0
1553,96500.0
1554,78000.0
1555,190000.0
1556,40000.0
1557,118000.0
1558,146500.0
1559,55000.0
1560,102000.0
1561,136500.0
1562,138500.0
1563,149900.0
1564,159000.0
1565,158000.0
1566,324000.0
1567,107000.0
1568,196000.0
1569,100000.0
1570,144900.0
1571,131000.0
1572,157000.0
1573,324000.0
1574,95000.0
1575,316600.0
1576,175000.0
1577,178000.0
1578,140000.0
1579,147000.0
1580,180000.0
1581,130000.0
1582,124500.0
1583,305900.0
1584,236000.0
1585,140000.0
1586,86000.0
1587,104900.0
1588,181000.0
1589,118500.0
